       972      3181     29235      2820 NEWORLEANS VALLEYFRG 
       971      3248     49035      4564 PORTLAND   VALLEYFRG 
     10130     18514    352812     25468 LYNDHURST  VALLEYFRG 
      2028      6023     78289      8509 BALTIMORE  VALLEYFRG 
      1986      8115     80557      9569 MIAMI      VALLEYFRG 
      2449      6666    116207      9407 ATLANTA    VALLEYFRG 
      5828      4567    123148      8645 DENVER     VALLEYFRG 
       496      1272     13028      2211 PHOENIX    VALLEYFRG 
       420       670     14373      1203 OKLACITY   VALLEYFRG 
      2901      6555    106177      9759 DETROIT    VALLEYFRG 
      1612      2121     37440      3387 WICHITA    VALLEYFRG 
      2542      4791     46626      5045 DURHAM     VALLEYFRG 
       486      2483     14216      1534 BIRMINGHAM VALLEYFRG 
       227       555      7758       796 BOISE      VALLEYFRG 
      1427      6623     47136      5066 MINNEAPOLS VALLEYFRG 
      1199      2377     25765      2887 LOUISVILLE VALLEYFRG 
       254       483      7804      1253 DESMOINES  VALLEYFRG 
      1049      2559     45277      4729 SEATTLE    VALLEYFRG 
     26091    192566    424474    146253 DALLAS     DALLAS    
      5229     66924    147544     18572 NEWYORK    DALLAS    
      4995    130472     45111     12903 BOSTON     DALLAS    
        17       352       670       275 OMAHA      DALLAS    
     11214     69218    251706     21595 SANFRAN    DALLAS    
     14710    150724    389814     24382 ARLINGTON  DALLAS    
     14538    151134    308141     44573 CHICAGO    DALLAS    
      3240     32767     75882      6445 MINNEAPOLS DALLAS    
       319      5494      7461       959 BUFFALO    DALLAS    
      8342     20566    125887      7951 MILWAUKEE  DALLAS    
     11023     60565    249933     25164 LOSANGELES DALLAS    
       209      3745      9027      1389 SYRACUSE   DALLAS    
       156       696      5271       668 ROCHESTER  DALLAS    
        42       133      1678       198 SALTLAKE   DALLAS    
      2400     31831     30153     19033 COLUMBUS   DALLAS    
      1781      7816     56113      7393 PHILA      DALLAS    
      2332      7567     68445      7664 HARTFORD   DALLAS    
      3880     51384     88951      5713 STLOUIS    DALLAS    
       546      6214     23652      2277 NEWORLEANS DALLAS    
      2237      4321    104824      3156 PORTLAND   DALLAS    
      1788      4110     17584      2621 BALTIMORE  DALLAS    
      5303     18892     78160      6271 DETROIT    DALLAS    
      3869     35819     60642     10705 MIAMI      DALLAS    
      4182     43126     95421     14153 ATLANTA    DALLAS    
      1552     18132     39349      4999 DENVER     DALLAS    
      4611     77761    147525     14535 LYNDHURST  DALLAS    
      1746     46437     31749      4208 PHOENIX    DALLAS    
     17950     16342    223405     11650 WICHITA    DALLAS    
      2552     65891     26405      6123 DURHAM     DALLAS    
       672      4129     13576      4023 BIRMINGHAM DALLAS    
      5030      5753     79871      7674 LOUISVILLE DALLAS    
      1165      3792     41547      3641 SEATTLE    DALLAS    
       247      5411     15187      1701 DESMOINES  DALLAS    
       109       203      2564       633 CARSONCITY DALLAS    
       521      4443     11629      1523 MEMPHIS    DALLAS    
       361      6384      8078      1311 OKLACITY   DALLAS    
        29       318       886       188 BOISE      DALLAS    
      4941     84611    108721     17080 NEWYORK    LOSANGELES
      5104    142046     27835     10021 ARLINGTON  LOSANGELES
        83       215      3411       664 OMAHA      LOSANGELES
      9632     95000     57719     30791 SANFRAN    LOSANGELES
      2002     42356     54401     11177 CHICAGO    LOSANGELES
       287     10200      1236       958 BUFFALO    LOSANGELES
       150      2797      6235      1204 MILWAUKEE  LOSANGELES
       590      7425     15490      2929 DETROIT    LOSANGELES
      3078      6521     79661      6399 LOSANGELES LOSANGELES
       168      5519      1306       356 SYRACUSE   LOSANGELES
        28       236      1096       152 ROCHESTER  LOSANGELES
        36      1204       411       188 SALTLAKE   LOSANGELES
      1386     29283     34956      8304 COLUMBUS   LOSANGELES
        33        39      1032       120 CARSONCITY LOSANGELES
       164       405     18279      1079 MEMPHIS    LOSANGELES
       951     11718     34502      4996 PHILA      LOSANGELES
       496      6638      9363      2152 HARTFORD   LOSANGELES
      3021     88115     16256      7034 BOSTON     LOSANGELES
       606     22315      8324      2724 STLOUIS    LOSANGELES
       167      2584      5558       942 NEWORLEANS LOSANGELES
       253       415     10924      1305 PORTLAND   LOSANGELES
       872     42517     20183      4366 LYNDHURST  LOSANGELES
       282      2541     15438      1281 BALTIMORE  LOSANGELES
       930     14119     22569      4558 MIAMI      LOSANGELES
       572     12676     18408      3961 ATLANTA    LOSANGELES
       717     13827     16093      2903 DENVER     LOSANGELES
      1110     10832     29081      2628 PHOENIX    LOSANGELES
        77       262      4445       466 OKLACITY   LOSANGELES
        85       241      4689      1033 WICHITA    LOSANGELES
       151      2149      6019      1498 DURHAM     LOSANGELES
        89       499      3224       666 BIRMINGHAM LOSANGELES
        33        49       888       139 BOISE      LOSANGELES
      2426     76640     12003      6978 MINNEAPOLS LOSANGELES
       198       456      7058      1937 LOUISVILLE LOSANGELES
       176       368      8509      1568 SEATTLE    LOSANGELES
       347       679     12639      1371 DESMOINES  LOSANGELES
     10419     21239    426434     50497 NEWYORK    NEWYORK   
        16        23       798       104 OMAHA      NEWYORK   
      3471     64554     82178      9215 SANFRAN    NEWYORK   
      3482     28625    130621      8174 CHICAGO    NEWYORK   
       607     12675      9289      1548 BUFFALO    NEWYORK   
       448     11871     18305      1600 MILWAUKEE  NEWYORK   
      4367    113888     35622     11718 ARLINGTON  NEWYORK   
      1699     25679      8344      1821 SYRACUSE   NEWYORK   
        91       342      7572       479 ROCHESTER  NEWYORK   
       289       703     13025       575 SALTLAKE   NEWYORK   
      1838     39777     27575      7737 COLUMBUS   NEWYORK   
        49       110      1169       177 CARSONCITY NEWYORK   
        81       204      3410       351 MEMPHIS    NEWYORK   
      1009      6477     61828      3441 PHILA      NEWYORK   
      1972     15391     75228      4398 HARTFORD   NEWYORK   
      6706    166639     67463     14818 BOSTON     NEWYORK   
       420      9168     11242      1429 STLOUIS    NEWYORK   
       283       420     16941      1117 NEWORLEANS NEWYORK   
       379       859     19645      1023 PORTLAND   NEWYORK   
       456      3124     23864      1529 BALTIMORE  NEWYORK   
      1121     28113     44747      2848 MIAMI      NEWYORK   
       824     19294     27303      4675 ATLANTA    NEWYORK   
      1750     34431     57652      3135 DENVER     NEWYORK   
      2568     92115     79383      7990 LYNDHURST  NEWYORK   
      2194     60279     11463      5350 PHOENIX    NEWYORK   
        60       480      2600       283 OKLACITY   NEWYORK   
       551      3842     20691      2617 DETROIT    NEWYORK   
       163       838     10247       772 WICHITA    NEWYORK   
      1330     31619     40865      3620 DURHAM     NEWYORK   
        28       357       874       200 BIRMINGHAM NEWYORK   
        26        37      1009        98 BOISE      NEWYORK   
      1486     35975     21369      4754 MINNEAPOLS NEWYORK   
       352      1314     20700      1591 LOUISVILLE NEWYORK   
       529       876     36535      1697 SEATTLE    NEWYORK   
       126       248      4379       554 DESMOINES  NEWYORK   
       902     11452     26410      2366 SANFRAN    COLUMBUS  
       257      4703     10080      1097 MILWAUKEE  COLUMBUS  
      2327     61499     28166      6234 ARLINGTON  COLUMBUS  
       134       252      4755       349 SALTLAKE   COLUMBUS  
       469      3578     12322      1670 HARTFORD   COLUMBUS  
      1996     62456     14320      5949 BOSTON     COLUMBUS  
       240       322      8905       715 WICHITA    COLUMBUS  
       509      2892     16131      1748 DETROIT    COLUMBUS  
      2131     43693     22819      4059 DURHAM     COLUMBUS  
       107       578      2754       457 BIRMINGHAM COLUMBUS  
       349      1443      7921      1167 COLUMBUS   COLUMBUS  
      1426     23019     33007      7831 CHICAGO    COLUMBUS  
        91       151      3331       380 ROCHESTER  COLUMBUS  
      1464      7863     27008      2168 PHILA      COLUMBUS  
       775     22004      7211      1814 STLOUIS    COLUMBUS  
       299       373      9687       855 NEWORLEANS COLUMBUS  
       123       201      4132       457 PORTLAND   COLUMBUS  
       275       329      9439      1084 BALTIMORE  COLUMBUS  
       435      7678      6369       941 DENVER     COLUMBUS  
       393     10895      5789      1445 PHOENIX    COLUMBUS  
       187      1447      6575       816 OKLACITY   COLUMBUS  
      1034      4445     36051      4137 MIAMI      COLUMBUS  
       221       706      8957       947 LOUISVILLE COLUMBUS  
       636     31607     10101      3033 LYNDHURST  COLUMBUS  
       119       119      5249       514 DESMOINES  COLUMBUS  
       109       167      3157       390 CARSONCITY COLUMBUS  
       853      1579     32770      2213 SEATTLE    COLUMBUS  
       211      1846      5413       736 SYRACUSE   COLUMBUS  
       521      8522     12313      2066 BUFFALO    COLUMBUS  
        84        65      3414       275 MEMPHIS    COLUMBUS  
       558     14816      9633      3648 ATLANTA    COLUMBUS  
       436      7972     12129      2563 MINNEAPOLS COLUMBUS  
     42683     37136    517923     13240 SYRACUSE   SYRACUSE  
       104      2382      1209       230 ARLINGTON  SYRACUSE  
         0         4         0         1 OMAHA      SYRACUSE  
         8       806        13        21 SANFRAN    SYRACUSE  
        17        26       448        33 MILWAUKEE  SYRACUSE  
        12       310        79        60 DETROIT    SYRACUSE  
       118      3429      1993       752 CHICAGO    SYRACUSE  
        10        18       461        22 ROCHESTER  SYRACUSE  
        23      1396        39        27 SALTLAKE   SYRACUSE  
         1         5         1         2 CARSONCITY SYRACUSE  
        35      1879        60        53 MEMPHIS    SYRACUSE  
        26       855       544        85 PHILA      SYRACUSE  
       228      3813      5183       437 BOSTON     SYRACUSE  
        18       284       453        30 HARTFORD   SYRACUSE  
        61      2863        91       124 STLOUIS    SYRACUSE  
        11       237        19        22 NEWORLEANS SYRACUSE  
        30        93       607        33 PORTLAND   SYRACUSE  
       418      1435     12900       991 LYNDHURST  SYRACUSE  
         9       134       298        27 MIAMI      SYRACUSE  
         5         7       147         6 OKLACITY   SYRACUSE  
         1         1        18         3 WICHITA    SYRACUSE  
         7        86       123        10 DURHAM     SYRACUSE  
         8         5       196        16 BIRMINGHAM SYRACUSE  
         1        32         1         1 BOISE      SYRACUSE  
        33      1251       177       110 MINNEAPOLS SYRACUSE  
         5       107        15        10 LOUISVILLE SYRACUSE  
         1         0         6         1 DENVER     SYRACUSE  
        50        44      1536        66 DESMOINES  SYRACUSE  
         1         1         6         1 SEATTLE    SYRACUSE  
      1792     41739     30568      4193 ARLINGTON  MINNEAPOLS
   84       346      2353       307 OMAHA      MINNEAPOLS
      1355     61418     17322      7295 CHICAGO    MINNEAPOLS
        72      2848       863       351 BUFFALO    MINNEAPOLS
       201      8133      5287      1311 MILWAUKEE  MINNEAPOLS
       208      1690      6178      1310 DETROIT    MINNEAPOLS
       194      9349      3900       754 SANFRAN    MINNEAPOLS
        21       309       384       158 ROCHESTER  MINNEAPOLS
        11       213       640       211 SALTLAKE   MINNEAPOLS
        42       748      1801       338 MEMPHIS    MINNEAPOLS
      1581      6425     45850      3324 PHILA      MINNEAPOLS
       258      3192      7250       925 HARTFORD   MINNEAPOLS
      2482     55654     30655      8249 BOSTON     MINNEAPOLS
       177      5089      5497       973 STLOUIS    MINNEAPOLS
        30       573      1543       349 NEWORLEANS MINNEAPOLS
        23       152       806       169 PORTLAND   MINNEAPOLS
       154       717      5084       639 BALTIMORE  MINNEAPOLS
      2032     21799     62135      6009 MIAMI      MINNEAPOLS
       824      7964     21254      2953 ATLANTA    MINNEAPOLS
       455      2138     10539      1600 DENVER     MINNEAPOLS
       456     15905      4894      1781 LYNDHURST  MINNEAPOLS
      2173     23128     43540      5257 PHOENIX    MINNEAPOLS
        18       342       508       189 OKLACITY   MINNEAPOLS
        60       220      1978       446 WICHITA    MINNEAPOLS
       156      3509      1437       640 DURHAM     MINNEAPOLS
        24       292       512       174 BIRMINGHAM MINNEAPOLS
       522      1502     11962      1481 MINNEAPOLS MINNEAPOLS
        25       312       716       240 LOUISVILLE MINNEAPOLS
        25       461       610       207 DESMOINES  MINNEAPOLS
      1172      2772     28512      3091 SEATTLE    MINNEAPOLS
      3507     35093     77203      8128 ARLINGTON  BOSTON    
       344      1653      7720       873 OMAHA      BOSTON    
       283      1216      4286       765 BUFFALO    BOSTON    
       938      5221     17142      1805 MILWAUKEE  BOSTON    
      2250      3574     84453      5105 DETROIT    BOSTON    
      1850     15671     48272      3644 SANFRAN    BOSTON    
      5986     28711    175138     11021 CHICAGO    BOSTON    
       401      2141      8371      1047 ROCHESTER  BOSTON    
       285       986     36442       822 SALTLAKE   BOSTON    
       306      1188      6386       847 MEMPHIS    BOSTON    
      2647     10643     57425      5817 PHILA      BOSTON    
      2232      5261     59592      5856 HARTFORD   BOSTON    
      1529      2985     43699      3973 BOSTON     BOSTON    
       817     23145     27384      2606 STLOUIS    BOSTON    
       589      1157     22404      1308 NEWORLEANS BOSTON    
       454       662     10827       873 PORTLAND   BOSTON    
       863     21620     20644      3242 LYNDHURST  BOSTON    
       907      2145     27517      2083 BALTIMORE  BOSTON    
      2342     44875     45959      3837 MIAMI      BOSTON    
      2453      9501     94782      6880 ATLANTA    BOSTON    
      1521      6535     72929      3085 DENVER     BOSTON    
      5614    125132     41748      8450 PHOENIX    BOSTON    
       233       231      7924       771 OKLACITY   BOSTON    
       517       742     20111       947 WICHITA    BOSTON    
      1004     14114     15999      2250 DURHAM     BOSTON    
       302      1392      9285       860 BIRMINGHAM BOSTON    
       729      1937     18310      1764 LOUISVILLE BOSTON    
       836      1292     20937      2200 SEATTLE    BOSTON    
       407       882      5368       784 DESMOINES  BOSTON    
      5217     67657    105492      8963 SANFRAN    ARLINGTON 
      4850     26728    165308     13163 CHICAGO    ARLINGTON 
       156       928      6194       434 SALTLAKE   ARLINGTON 
       338       596     14101       870 MEMPHIS    ARLINGTON 
      3157     14601     93081     10201 PHILA      ARLINGTON 
       403      1280     10242       884 PORTLAND   ARLINGTON 
      1260      6818     27646      2894 BALTIMORE  ARLINGTON 
      1954     18714     51648      5881 ATLANTA    ARLINGTON 
      3022     14261     59690      5011 DENVER     ARLINGTON 
      1097     18340     34496      3025 LYNDHURST  ARLINGTON 
      3498     82283     38287      5454 PHOENIX    ARLINGTON 
      3743      6822     98438      8604 ARLINGTON  ARLINGTON 
      1520      4585     40121      3591 DETROIT    ARLINGTON 
       497      1989     19248      1438 LOUISVILLE ARLINGTON 
      1650     11615     49160      5184 MIAMI      ARLINGTON 
       671      2191     21374      1891 SEATTLE    ARLINGTON 
      2266     16019     19842     10681 SANFRAN    SANFRAN   
       871     32869     13005      3715 CHICAGO    SANFRAN   
       366     10693       590      1788 SALTLAKE   SANFRAN   
        94       309      3856       177 PHILA      SANFRAN   
       148      6953      1353       327 HARTFORD   SANFRAN   
       274     11074      2229       554 STLOUIS    SANFRAN   
      1196      2499     66018      2868 NEWORLEANS SANFRAN   
      1503       500     26484       298 PORTLAND   SANFRAN   
       261      1056     15035       421 BALTIMORE  SANFRAN   
       257      6826      5390      1149 ATLANTA    SANFRAN   
      1384     35486     29608      1946 DENVER     SANFRAN   
      1408     35226     40236      4459 LYNDHURST  SANFRAN   
       801       455      1369       149 WICHITA    SANFRAN   
       604      6510     16655      1421 MIAMI      SANFRAN   
       124      2376      3074       222 LOUISVILLE SANFRAN   
      2977      2059     48544       926 SEATTLE    SANFRAN   
         2         2        26         8 DESMOINES  SANFRAN   
       501       919     27937       960 BIRMINGHAM SANFRAN   
        24      1096       318       389 OMAHA      ATLANTA   
       900     20532     18231      5685 CHICAGO    ATLANTA   
       167      5528      1099       881 BUFFALO    ATLANTA   
       143      3687      4533      1350 MILWAUKEE  ATLANTA   
       246      2882      6507      1855 DETROIT    ATLANTA   
        37       579      1217       316 SYRACUSE   ATLANTA   
        28      1177       419       331 ROCHESTER  ATLANTA   
        47      3096       324       569 SALTLAKE   ATLANTA   
         7       258       230        84 CARSONCITY ATLANTA   
       140      2093      1228       548 MEMPHIS    ATLANTA   
       202      3834      6607      1607 PHILA      ATLANTA   
       128       177      5853      1349 HARTFORD   ATLANTA   
       297     14676      1188       950 STLOUIS    ATLANTA   
       100      5025      2293       785 NEWORLEANS ATLANTA   
       106       361     10726       780 PORTLAND   ATLANTA   
       435     33474      2175      2386 LYNDHURST  ATLANTA   
       168      2715      3973      1272 BALTIMORE  ATLANTA   
       760     26945     16917      2535 MIAMI      ATLANTA   
        77       118      3929       720 ATLANTA    ATLANTA   
       337      7839      5451      1297 DENVER     ATLANTA   
      1030     18273     16037      3009 PHOENIX    ATLANTA   
        83      2972      2133       766 OKLACITY   ATLANTA   
        67       130      3865       777 WICHITA    ATLANTA   
       303      7955      3207      1511 DURHAM     ATLANTA   
        42      1071      1156       549 BIRMINGHAM ATLANTA   
        15        35      1071       317 BOISE      ATLANTA   
        86       451      3990       945 LOUISVILLE ATLANTA   
        90       169      5988      1168 SEATTLE    ATLANTA   
        33        31      1505       356 DESMOINES  ATLANTA   
       407     17279     12276       758 MEMPHIS    LYNDHURST 
        36        74      2634       382 NEWORLEANS LYNDHURST 
       648      1023     47944      3561 LYNDHURST  LYNDHURST 
       217      7211     10048      1180 MIAMI      LYNDHURST 
        42        63      3383       426 BIRMINGHAM LYNDHURST 
       394     22530      7998       908 LOUISVILLE LYNDHURST 
      1139     12851     48826      4838 CHICAGO    LYNDHURST 
       348      2682     14769       708 PHOENIX    LYNDHURST 
       137       768      5316       589 OMAHA      CHICAGO   
       488     11583      5328      2193 BUFFALO    CHICAGO   
      1093      9723     37186      3650 MILWAUKEE  CHICAGO   
      1657     11166     56268     15588 DETROIT    CHICAGO   
      9348     11816    185224     15006 CHICAGO    CHICAGO   
       242       381      6205       730 ROCHESTER  CHICAGO   
       101       227      1918       446 SALTLAKE   CHICAGO   
       235      4000      2413      2144 CARSONCITY CHICAGO   
       256      2063      6798      2073 MEMPHIS    CHICAGO   
       700      4878     21990      4366 PHILA      CHICAGO   
       426     12062      6368      2180 HARTFORD   CHICAGO   
       416     12616     10770      2089 STLOUIS    CHICAGO   
       430      1747     15760      2293 NEWORLEANS CHICAGO   
       116       290      4519       723 PORTLAND   CHICAGO   
       423      4356      7945      1484 BALTIMORE  CHICAGO   
       699      9798     14760      5434 MIAMI      CHICAGO   
       436      5451      8107      1222 DENVER     CHICAGO   
       740     18258     20430      2643 PHOENIX    CHICAGO   
       162      1988      5328      1102 OKLACITY   CHICAGO   
       526      1635     22802      3295 WICHITA    CHICAGO   
       755     19719      4862      2337 DURHAM     CHICAGO   
       114       793      3529       797 BIRMINGHAM CHICAGO   
         9        18       442        61 BOISE      CHICAGO   
       251      1039      8969      1823 LOUISVILLE CHICAGO   
       177       726      7416       948 SEATTLE    CHICAGO   
       221       709      8143      1301 DESMOINES  CHICAGO   
       882     22711      5893      2129 ARLINGTON  HARTFORD  
       134      4375      1431       425 DETROIT    HARTFORD  
       318      1423      7678       612 HARTFORD   HARTFORD  
       205      1523      5478       472 PHILA      HARTFORD  
       223      4312       404       340 DENVER     HARTFORD  
       192      4146      1808       568 PHOENIX    HARTFORD  
        10         3       713        35 DESMOINES  HARTFORD  
       314      7459       737       361 PHILA      DENVER    
