 5 2400 004 0435 00003
 5 2404 002 0435 00003
 3 2404 002 0435 00004
 3 2400 004 0435 00002
 5 2404 002 0435 00003
 5 2400 004 0435 00003
 3 2400 004 0435 00002
 3 2404 002 0435 00004
 3 2043 004 1065 00004
 3 3124 003 3246 00002
 3 3246 002 3124 00002
 4 3124 003 3246 00001
 4 3246 002 3124 00001
 5 3124 003 3246 00001
 5 2404 002 0435 00003
 5 2400 004 0435 00003
 3 2404 002 0435 00004
 5 2404 002 0435 00003
 3 2404 002 0435 00004
 3 2400 004 0435 00002
 5 2404 002 0435 00003
 5 2400 004 0435 00003
 3 2400 004 0435 00002
 3 2404 002 0435 00004
 5 2404 002 0435 00003
 5 2400 004 0435 00003
 3 2404 002 0435 00004
 3 2400 004 0435 00002
 3 3124 003 3246 00002
 3 3246 002 3124 00002
 4 3246 002 3124 00001
 4 3124 003 3246 00001
 5 3246 002 3124 00001
 4 2475 011 2414 00001
 4 2730 001 2414 00001
 4 3257 000 2414 00001
 4 2072 006 2414 00001
 4 2513 000 2414 00001
 4 2514 001 2414 00001
 5 2730 001 2414 00001
 5 3257 000 2414 00001
 5 2475 011 2414 00001
 5 2513 000 2414 00001
 5 2072 006 2414 00001
 5 2514 001 2414 00001
 5 2404 002 0435 00003
 5 2400 004 0435 00003
 3 2400 004 0435 00002
 3 2404 002 0435 00004
 5 2404 002 0435 00003
 5 2400 004 0435 00003
 3 2404 002 0435 00004
 3 2400 004 0435 00002
 5 2404 002 0435 00003
 5 2400 004 0435 00003
 3 2400 004 0435 00002
 3 2404 002 0435 00004
 4 2357 010 2501 00001
 5 2357 010 2501 00001
 3 2072 006 2414 00004
 3 2514 001 2414 00004
 3 2513 000 2414 00004
 3 2730 001 2414 00004
 3 2475 011 2414 00004
 5 2072 006 2414 00003
 5 2514 001 2414 00003
 5 2513 000 2414 00003
 5 2730 001 2414 00003
 5 2475 011 2414 00003
 3 2072 006 2414 00004
 3 2514 001 2414 00004
 3 2730 001 2414 00004
 3 2513 000 2414 00004
 3 2475 011 2414 00004
 3 3257 000 2414 00002
 5 2072 006 2414 00003
 5 2475 011 2414 00003
 5 2730 001 2414 00003
 5 2514 001 2414 00003
 5 2513 000 2414 00003
 5 3257 000 2414 00003
 3 2072 006 2414 00004
 3 2514 001 2414 00004
 3 2513 000 2414 00004
