SAN FRANCISCO
-------------
 
DATE
----
871129
871130
871201
871202
871203
871204
871205
871206
871207
871208
871209
871210
 
                  LOGINS                     CONNECT TIME (HOURS)
       -------------------------------    -------------------------------
 HR    BAND4    BAND5           ROTARY    BAND4    BAND5           ROTARY
 15     1732      982             2714    65.58    22.63            88.21
 16     1938     1351             3289    81.72    36.57           118.29
 17     3275     1329             4604   102.60    40.32           142.92
 18     3967     1429             5396    95.32    33.64           128.96
 19     3742     1347             5089    72.96    29.50           102.46
 20     3904     1498             5402    77.12    31.66           108.77
 21     3953     1509             5462    79.78    34.09           113.87
 22     3955     1455             5410    85.23    33.82           119.05
 23     3893     1319             5212    77.35    18.59            95.93
 24     3541      995             4536    49.79     9.42            59.21
  1     3299      805             4104    32.04     7.69            39.73
  2     3166      781             3947    24.37     6.87            31.23
  3     2812      780             3592    18.92     6.78            25.70
  4     1867      751             2618    11.96     5.13            17.09
  5     1790      752             2542    12.68     5.89            18.57
  6     1856      702             2558    14.17     6.01            20.18
  7     1757      641             2398    11.76     5.72            17.48
  8     1710      649             2359    11.61     5.40            17.00
  9     1827     3581             5408    14.77    22.54            37.31
 10     1817       58             1875    14.25     0.43            14.68
 11     1519      496             2015    10.01     3.12            13.14
 12     1837      497             2334    11.66     3.44            15.10
 13     1966      778             2744    12.40     5.38            17.78
 14     2059      852             2911    14.58     6.13            20.71
 15     2582      916             3498    25.39     7.59            32.99
 16     3735     1033             4768    37.73     8.28            46.01
 17     3868     1727             5595    43.67    14.89            58.57
 18     3903     2074             5977    41.93    16.83            58.76
 19     3851     2075             5926    36.38    16.71            53.10
 20     3845     2087             5932    35.50    16.52            52.01
 21     3822     2119             5941    37.09    17.92            55.02
 22     3803     2093             5896    35.27    16.52            51.79
 23     3777     2052             5829    30.50    15.41            45.92
 24     3669     1797             5466    29.91    15.25            45.16
  1     3612     1467             5079    26.79    10.65            37.44
  2     3585     1486             5071    24.53     9.53            34.05
  3     3495     1062             4557    22.88     7.12            30.00
  4     2309      858             3167    15.85     5.38            21.23
  5     2267      881             3148    15.48     5.86            21.35
  6     2345      862             3207    16.77     5.56            22.33
  7     2180      849             3029    14.87     5.38            20.24
  8     2188      679             2867    14.73     5.27            20.00
  9     2279      107             2386    18.28     1.13            19.41
 10     1220       22             1242    10.64     0.34            10.99
 11      468       28              496     3.70     0.59             4.29
 12      641      230              871     4.25     2.03             6.28
 13      649      436             1085     4.47     3.00             7.48
 14      788      540             1328     5.07     3.46             8.54
 15     1671      542             2213    11.03     3.82            14.86
 16     1740      544             2284    12.13     3.43            15.56
 17     1739      595             2334    12.71     4.85            17.56
 18     2875      675             3550    21.66     5.05            26.70
 19     2963      724             3687    21.81     5.16            26.96
 20     2997      762             3759    21.88     5.84            27.72
 21     2985      761             3746    22.46     5.93            28.39
 22     2959      744             3703    21.27     5.21            26.48
 23     2961      732             3693    21.63     5.08            26.71
 24     2936     6229             9165    22.44    40.03            62.47
  1     2055      670             2725    15.53     5.30            20.83
  2     1755      593             2348    16.41     5.86            22.27
  3     1731      583             2314    12.77     3.86            16.63
  4     1682      562             2244    13.63     3.79            17.42
  5     1706      582             2288    13.24     4.42            17.66
  6     1730      477             2207    13.79     4.31            18.10
  7     1658      352             2010    11.83     3.29            15.13
  8      845      223             1068     7.24     2.69             9.93
  9      843       18              861     8.70     1.16             9.86
 10      819       26              845     8.24     0.36             8.61
 11      686       13              699     5.24     0.18             5.42
 12      652      263              915     5.00     2.81             7.81
 13     1387      645             2032    11.51     6.64            18.15
 14     1927      765             2692    30.44    13.80            44.23
 15     2968     1120             4088    60.75    19.36            80.10
 16     3299     1537             4836    81.08    27.85           108.94
 17     3304     1648             4952    90.01    32.25           122.26
 18     3233     1599             4832    77.03    24.79           101.83
 19     3109     1514             4623    66.30    22.77            89.06
 20     3242     1654             4896    72.17    30.96           103.12
