1138229 574314217 4561  0 4271  09110302214        1091        1222         2313911031 344    330 3 0764137NISSANCMT;                4288  0       0       000   080059134453    00   19786      0              0          
1138230 574314417 4561  0 4271  09110302214          67          39          106911031 344    330 2 0764137NISSANCMT;                4288  0       0       000   080059134453    00   19786      0              0          
1229338 574315017 4561  0 4271  09110302354         625       16749        17374911031   2      8 3 0764137NISSANCMT;                4288  0       0       000   086023  1270    00     504      0              0          
1229339 574316017 4561  0 4271  09110302354          67          39          106911031   2      8 2 0764137NISSANCMT;                4288  0       0       000   086023  1270    00     504      0              0          
1230384 574315517 4561  0 4271  09110302355         386        7763         8149911031   3      8 3 0764137NISSANCMT;                4288  0       0       000   086099  2040    00     505      0              0          
1230385 574315617 4561  0 4271  09110302355          67          39          106911031   3      8 2 0764137NISSANCMT;                4288  0       0       000   086099  2040    00     505      0              0          
1233386 574315317 4561  0 4271  09110302358        2576         619         3195911031   0      2 3 0764137NISSANCMT;                4288  0       0       000   086305   140    00     109      0              0          
1233387 574315417 4561  0 4271  09110302358          67          39          106911031   0      2 2 0764137NISSANCMT;                4288  0       0       000   086305   140    00     109      0              0          
1233712 574316217 4561  0 4271  09110302359        5225        5514        10739911031   0      2 3 0764137NISSANCMT;                4288  0       0       000   086327   200    00      93      0              0          
1233713 574316317 4561  0 4271  09110302359          67          39          106911031   0      2 2 0764137NISSANCMT;                4288  0       0       000   086327   200    00      93      0              0          
1235738 574315317 4561  0 4271  0911031   1       10555        6073        16628911031   4      3 3 0764137NISSANCMT;                4288  0       0       000   0   62  2430    00     181      0              0          
1235739 574315717 4561  0 4271  0911031   1          67          39          106911031   4      3 2 0764137NISSANCMT;                4288  0       0       000   0   62  2430    00     181      0              0          
1238439 574315017 4561  0 4271  0911031   4        1195         602         1797911031   5      1 3 0764137NISSANCMT;                4288  0       0       000   0  254  3060    00      52      0              0          
1238440 574315117 4561  0 4271  0911031   4          67          39          106911031   5      1 2 0764137NISSANCMT;                4288  0       0       000   0  254  3060    00      52      0              0          
1238681 574315317 4561  0 4271  0911031   5        1058        1060         2118911031   5      1 3 0764137NISSANCMT;                4288  0       0       000   0  270  3120    00      42      0              0          
1238682 574315417 4561  0 4271  0911031   5          67          39          106911031   5      1 2 0764137NISSANCMT;                4288  0       0       000   0  270  3120    00      42      0              0          
1239142 574315617 4561  0 4271  0911031   5         302        4001         4303911031  10      5 3 0764137NISSANCMT;                4288  0       0       000   0  302  6180    00     316      0              0          
1239143 574315717 4561  0 4271  0911031   5         130        5328         5458911031  10      5 2 0764137NISSANCMT;                4288  0       0       000   0  302  6180    00     316      0              0          
1241645 574315017 4561  0 4271  0911031   8        3148         607         3755911031   9      1 3 0764137NISSANCMT;                4288  0       0       000   0  475  5370    00      62      0              0          
1241646 574315117 4561  0 4271  0911031   8          67          39          106911031   9      1 2 0764137NISSANCMT;                4288  0       0       000   0  475  5370    00      62      0              0          
1242525 574315317 4561  0 4271  0911031   9         738       14127        14865911031  16      7 3 0764137NISSANCMT;                4288  0       0       000   0  537  9370    00     400      0              0          
1242528 574315417 4561  0 4271  0911031   9          67          39          106911031  16      7 2 0764137NISSANCMT;                4288  0       0       000   0  537  9370    00     400      0              0          
1243417 574315017 4561  0 4271  0911031  10        1517         590         2107911031  11      1 3 0764137NISSANCMT;                4288  0       0       000   0  604  6540    00      50      0              0          
1243418 574315117 4561  0 4271  0911031  10          67          39          106911031  11      1 2 0764137NISSANCMT;                4288  0       0       000   0  604  6540    00      50      0              0          
1243997 574315617 4561  0 4271  0911031  11        1318        1010         2328911031  11      1 3 0764137NISSANCMT;                4288  0       0       000   0  646  6880    00      42      0              0          
1243998 574316017 4561  0 4271  0911031  11          67          39          106911031  11      1 2 0764137NISSANCMT;                4288  0       0       000   0  646  6880    00      42      0              0          
1244612 574315017 4561  0 4271  0911031  11         727         957         1684911031  12      1 3 0764137NISSANCMT;                4288  0       0       000   0  689  7250    00      36      0              0          
1244613 574315717 4561  0 4271  0911031  11          67          39          106911031  12      1 2 0764137NISSANCMT;                4288  0       0       000   0  689  7250    00      36      0              0          
1244904 574315617 4561  0 4271  0911031  12         877         896         1773911031  13      1 3 0764137NISSANCMT;                4288  0       0       000   0  711  7670    00      56      0              0          
1244905 574316117 4561  0 4271  0911031  12          67          39          106911031  13      1 2 0764137NISSANCMT;                4288  0       0       000   0  711  7670    00      56      0              0          
1245730 574315017 4561  0 4271  0911031  13         255        3905         4160911031  18      5 3 0764137NISSANCMT;                4288  0       0       000   0  770 10950    00     325      0              0          
1245731 574315117 4561  0 4271  0911031  13          85        3188         3273911031  18      5 2 0764137NISSANCMT;                4288  0       0       000   0  770 10950    00     325      0              0          
1247990 574315217 4561  0 4271  0911031  16         214        2601         2815911031  17      1 3 0764137NISSANCMT;                4288  0       0       000   0  938  9920    00      54      0              0          
1247991 574315317 4561  0 4271  0911031  16          67          39          106911031  17      1 2 0764137NISSANCMT;                4288  0       0       000   0  938  9920    00      54      0              0          
1248323 574315717 4561  0 4271  0911031  16        1851         638         2489911031  17      1 3 0764137NISSANCMT;                4288  0       0       000   0  965 10410    00      76      0              0          
1248324 574316017 4561  0 4271  0911031  16          67          39          106911031  17      1 2 0764137NISSANCMT;                4288  0       0       000   0  965 10410    00      76      0              0          
1250375 574315217 4561  0 4271  0911031  19         362        6610         6972911031  32     14 3 0764137NISSANCMT;                4288  0       0       000   0 1113 19460    00     833      0              0          
1250376 574315317 4561  0 4271  0911031  19         175       10089        10264911031  32     14 2 0764137NISSANCMT;                4288  0       0       000   0 1113 19460    00     833      0              0          
1250378 574315417 4561  0 4271  0911031  19        2257        1258         3515911031  20      1 3 0764137NISSANCMT;                4288  0       0       000   0 1113 11700    00      57      0              0          
1250379 574315517 4561  0 4271  0911031  19          67          39          106911031  20      1 2 0764137NISSANCMT;                4288  0       0       000   0 1113 11700    00      57      0              0          
1251378 574315117 4561  0 4271  0911031  20         241        3332         3573911031  24      4 3 0764137NISSANCMT;                4288  0       0       000   0 1188 14280    00     240      0              0          
1251379 574315417 4561  0 4271  0911031  20          67          39          106911031  24      4 2 0764137NISSANCMT;                4288  0       0       000   0 1188 14280    00     240      0              0          
1251914 574315617 4561  0 4271  0911031  21        1139       20693        21832911031 103     42 3 0764137NISSANCMT;                4288  0       0       000   0 1230 37780    00    2548      0              0          
1251915 574315717 4561  0 4271  0911031  21          67          39          106911031 103     42 2 0764137NISSANCMT;                4288  0       0       000   0 1230 37780    00    2548      0              0          
1252922 574316117 4561  0 4271  0911031  22         342        5293         5635911031  29      7 3 0764137NISSANCMT;                4288  0       0       000   0 1306 17440    00     438      0              0          
1252923 574316217 4561  0 4271  0911031  22         202       13554        13756911031  29      7 2 0764137NISSANCMT;                4288  0       0       000   0 1306 17440    00     438      0              0          
1254264 574316417 4561  0 4271  0911031  23         880         960         1840911031  24      1 3 0764137NISSANCMT;                4288  0       0       000   0 1407 14440    00      37      0              0          
1254265 574316517 4561  0 4271  0911031  23          67          39          106911031  24      1 2 0764137NISSANCMT;                4288  0       0       000   0 1407 14440    00      37      0              0          
1258787 574315117 4561  0 4271  0911031  29         196        1974         2170911031  32      3 3 0764137NISSANCMT;                4288  0       0       000   0 1750 19220    00     172      0              0          
1258788 574315417 4561  0 4271  0911031  29          67          39          106911031  32      3 2 0764137NISSANCMT;                4288  0       0       000   0 1750 19220    00     172      0              0          
1258856 574316117 4561  0 4271  0911031  29        1600       10041        11641911031  40     11 3 0764137NISSANCMT;                4288  0       0       000   0 1755 23870    00     632      0              0          
1258857 574316317 4561  0 4271  0911031  29          67          39          106911031  40     11 2 0764137NISSANCMT;                4288  0       0       000   0 1755 23870    00     632      0              0          
1260084 574316417 4561  0 4271  0911031  31      180683      172032       352715911031 110     39 3 0764137NISSANCMT;                4288  0       0       000   0 1842 41940    00    2352      0              0          
1260085 574316517 4561  0 4271  0911031  31          67          39          106911031 110     39 2 0764137NISSANCMT;                4288  0       0       000   0 1842 41940    00    2352      0              0          
1260861 574316717 4561  0 4271  0911031  32         488        6006         6494911031  39      7 3 0764137NISSANCMT;                4288  0       0       000   0 1904 23290    00     425      0              0          
1260862 574317017 4561  0 4271  0911031  32         409       10274        10683911031  39      7 2 0764137NISSANCMT;                4288  0       0       000   0 1904 23290    00     425      0              0          
1267239 574315017 4561  0 4271  0911031  40        1792         626         2418911031  41      1 3 0764137NISSANCMT;                4288  0       0       000   0 2393 24450    00      52      0              0          
1267240 574315117 4561  0 4271  0911031  40          67          39          106911031  41      1 2 0764137NISSANCMT;                4288  0       0       000   0 2393 24450    00      52      0              0          
1267455 574315317 4561  0 4271  0911031  40         306         929         12359110311259    739 3 0764137NISSANCMT;                4288  0       0       000   0 2409467413    00   44332      0              0          
1267456 574315417 4561  0 4271  0911031  40          67          39          1069110311259    739 2 0764137NISSANCMT;                4288  0       0       000   0 2409467413    00   44332      0              0          
1268499 574315017 4561  0 4271  0911031  42         447        7091         7538911031  52     11 3 0764137NISSANCMT;                4288  0       0       000   0 2491 31300    00     639      0              0          
1268500 574316017 4561  0 4271  0911031  42         121        2882         3003911031  52     11 2 0764137NISSANCMT;                4288  0       0       000   0 2491 31300    00     639      0              0          
1276293 574316117 4561  0 4271  0911031  52         428        8359         8787911031  59      7 3 0764137NISSANCMT;                4288  0       0       000   0 3116 35430    00     427      0              0          
1276294 574316317 4561  0 4271  0911031  52          67          39          106911031  59      7 2 0764137NISSANCMT;                4288  0       0       000   0 3116 35430    00     427      0              0          
1296346 574315017 4561  0 4271  0911031 120         540         590         1130911031 120      0 3 0764137NISSANCMT;                4288  0       0       000   0 4794 48180    00      24      0              0          
1296347 574315117 4561  0 4271  0911031 120          67          39          106911031 120      0 2 0764137NISSANCMT;                4288  0       0       000   0 4794 48180    00      24      0              0          
1317647 574315017 4561  0 4271  0911031 153         168        1396         1564911031 155      2 3 0764137NISSANCMT;                4288  0       0       000   0 6752 68890    00     137      0              0          
1317648 574315117 4561  0 4271  0911031 153          67          39          106911031 155      2 2 0764137NISSANCMT;                4288  0       0       000   0 6752 68890    00     137      0              0          
1322484 574315017 4561  0 4271  0911031 160         230         572          802911031 200      0 3 0764137NISSANCMT;                4288  0       0       000   0 7197 72200    00      23      0              0          
1322485 574315117 4561  0 4271  0911031 160          67          39          106911031 200      0 2 0764137NISSANCMT;                4288  0       0       000   0 7197 72200    00      23      0              0          
1323148 574315017 4561  0 4271  0911031 201       68561       66268       134829911031 212     11 3 0764137NISSANCMT;                4288  0       0       000   0 7254 79280    00     674      0              0          
1323149 574315517 4561  0 4271  0911031 201          67          39          106911031 212     11 2 0764137NISSANCMT;                4288  0       0       000   0 7254 79280    00     674      0              0          
4261944 574314217 4561  0 4271  09110311030       67893       65203       1330969110311041     11 3 0764137NISSANCMT;                4288  0       0       000   037804384750    00     671      0              0          
4261945 574314417 4561  0 4271  09110311030          67          39          1069110311041     11 2 0764137NISSANCMT;                4288  0       0       000   037804384750    00     671      0              0          
4262054 574315017 4561  0 4271  09110311031        6885        6539        134249110311034      4 3 0764137NISSANCMT;                4288  0       0       000   037836380630    00     227      0              0          
4262055 574315117 4561  0 4271  09110311031          67          39          1069110311034      4 2 0764137NISSANCMT;                4288  0       0       000   037837380630    00     226      0              0          
4262401 574315617 4561  0 4271  09110311032       33061       32736        657979110311042     10 3 0764137NISSANCMT;                4288  0       0       000   037920385350    00     615      0              0          
4262402 574315717 4561  0 4271  09110311032          67          39          1069110311042     10 2 0764137NISSANCMT;                4288  0       0       000   037920385350    00     615      0              0          
4263922 574315017 4561  0 4271  09110311040       53105       51456       1045619110311052     12 3 0764137NISSANCMT;                4288  0       0       000   038379391160    00     737      0              0          
4263923 574315117 4561  0 4271  09110311040          67          39          1069110311052     12 2 0764137NISSANCMT;                4288  0       0       000   038380391160    00     736      0              0          
4264738 574314217 4561  0 4271  09110311044       25296       24364        496609110311050      6 3 0764137NISSANCMT;                4288  0       0       000   038649390230    00     374      0              0          
4264739 574314417 4561  0 4271  09110311044          67          39          1069110311050      6 2 0764137NISSANCMT;                4288  0       0       000   038649390230    00     374      0              0          
4265361 574315617 4561  0 4271  09110311048       34595       33188        677839110311056      8 3 0764137NISSANCMT;                4288  0       0       000   038852393300    00     478      0              0          
4265362 574315717 4561  0 409110311048          67          39          1069110311056      8 2 0764137NISSANCMT;                4288  0       0       000   038852393300    00     478      0              0          
4266004 574314217 4561  0 4271  09110311051       28190       27519        557099110311058      7 3 0764137NISSANCMT;                4288  0       0       000   039049394570    00     408      0              0          
4266005 574316017 4561  0 4271  09110311051          67          39          1069110311058      7 2 0764137NISSANCMT;                4288  0       0       000   039049394580    00     409      0              0          
4267242 574314217 4561  0 4271  09110311058         230         572          8029110311058      0 3 0764137NISSANCMT;                4288  0       0       000   039465394820    00      17      0              0          
4267243 574314417 4561  0 4271  09110311058          67          39          1069110311058      0 2 0764137NISSANCMT;                4288  0       0       000   039465394820    00      17      0              0          
4267299 574314217 4561  0 4271  09110311058       44285       43735        880209110311108     10 3 0764137NISSANCMT;                4288  0       0       000   039483400900    00     607      0              0          
4267300 574314717 4561  0 4271  09110311058          67          39          1069110311108     10 2 0764137NISSANCMT;                4288  0       0       000   039483400900    00     607      0              0          
4267362 574315117 4561  0 4271  09110311058       35018       34366        693849110311107      9 3 0764137NISSANCMT;                4288  0       0       000   039496400080    00     512      0              0          
4267363 574315517 4561  0 4271  09110311058          67          39          1069110311107      9 2 0764137NISSANCMT;                4288  0       0       000   039496400080    00     512      0              0          
4267583 574315617 4561  0 4271  09110311059       33828       33208        670369110311460    240 3 0764137NISSANCMT;                4288  0       0       000   039553539820    00   14429      0              0          
4267584 574315717 4561  0 4271  09110311059          67          39          1069110311460    240 2 0764137NISSANCMT;                4288  0       0       000   039553539820    00   14429      0              0          
4269930 574314217 4561  0 4271  09110311108       30446       29920        603669110311116      7 3 0764137NISSANCMT;                4288  0       0       000   040106405340    00     428      0              0          
4269931 574315017 4561  0 4271  09110311108          67          39          1069110311116      7 2 0764137NISSANCMT;                4288  0       0       000   040106405340    00     428      0              0          
4282471 574314717 4561  0 4271  09110311159       38235       36630        748659110311207      8 3 0764137NISSANCMT;                4288  0       0       000   043153436080    00     455      0              0          
4282472 574315017 4561  0 4271  09110311159          67          39          1069110311207      8 2 0764137NISSANCMT;                4288  0       0       000   043153436080    00     455      0              0          
4282507 574315117 4561  0 4271  09110311159       35166       34883        700499110311210     10 3 0764137NISSANCMT;                4288  0       0       000   043160437780    00     618      0              0          
4282508 574315517 4561  0 4271  09110311159          67          39          1069110311210     10 2 0764137NISSANCMT;                4288  0       0       000   043161437780    00     617      0              0          
4282639 574316117 4561  0 4271  09110311160       32529       32125        646549110311207      8 3 0764137NISSANCMT;                4288  0       0       000   043180436390    00     459      0              0          
4282640 574316217 4561  0 4271  09110311160          67          39          1069110311207      8 2 0764137NISSANCMT;                4288  0       0       000   043180436390    00     459      0              0          
4293892 574314217 4561  0 4271  09110311228       34047       33397        674449110311237      8 3 0764137NISSANCMT;                4288  0       0       000   044903453920    00     489      0              0          
4293893 574314717 4561  0 4271  09110311228          67          39          1069110311237      8 2 0764137NISSANCMT;                4288  0       0       000   044903453920    00     489      0              0          
4294127 574315117 4561  0 4271  09110311229       49249       46402        956519110311238      9 3 0764137NISSANCMT;                4288  0       0       000   044934454530    00     519      0              0          
4294128 574315517 4561  0 4271  09110311229          67          39          1069110311238      9 2 0764137NISSANCMT;                4288  0       0       000   044934454530    00     519      0              0          
4294486 574316117 4561  0 4271  09110311230       24616       24354        489709110311236      6 3 0764137NISSANCMT;                4288  0       0       000   044978453530    00     375      0              0          
4294487 574316217 4561  0 4271  09110311230          67          39          1069110311236      6 2 0764137NISSANCMT;                4288  0       0       000   044978453530    00     375      0              0          
4296423 574316417 4561  0 4271  09110311233       47551       46187        937389110311242      9 3 0764137NISSANCMT;                4288  0       0       000   045182457390    00     557      0              0          
4296424 574316517 4561  0 4271  09110311233          67          39          1069110311242      9 2 0764137NISSANCMT;                4288  0       0       000   045182457390    00     557      0              0          
4299734 574314217 4561  0 4271  09110311239       52930       50775       1037059110311250     11 3 0764137NISSANCMT;                4288  0       0       000   045540461730    00     633      0              0          
4299735 574314717 4561  0 4271  09110311239          67          39          1069110311250     11 2 0764137NISSANCMT;                4288  0       0       000   045540461730    00     633      0              0          
4299841 574315117 4561  0 4271  09110311239       48282       45768        940509110311251     12 3 0764137NISSANCMT;                4288  0       0       000   045554462510    00     697      0              0          
4299842 574315517 4561  0 4271  09110311239          67          39          1069110311251     12 2 0764137NISSANCMT;                4288  0       0       000   045554462510    00     697      0              0          
4300435 574316117 4561  0 4271  09110311240       28688       27155        558439110311247      6 3 0764137NISSANCMT;                4288  0       0       000   045623459910    00     368      0              0          
4300436 574316217 4561  0 4271  09110311240          67          39          1069110311247      6 2 0764137NISSANCMT;                4288  0       0       000   045623459910    00     368      0              0          
4303969 574316017 4561  0 4271  09110311247       18456       17581        360379110311251      5 3 0764137NISSANCMT;                4288  0       0       000   045992462860    00     294      0              0          
4303970 574316117 4561  0 4271  09110311247          67          39          1069110311251      5 2 0764137NISSANCMT;                4288  0       0       000   045992462860    00     294      0              0          
4306782 574314217 4561  0 4271  09110311251       67788       65805       1335939110311302     11 3 0764137NISSANCMT;                4288  0       0       000   046268469400    00     672      0              0          
4306783 574314717 4561  0 4271  09110311251          67          39          1069110311302     11 2 0764137NISSANCMT;                4288  0       0       000   046268469400    00     672      0              0          
4307078 574315117 4561  0 4271  09110311252       25352       24858        502109110311301     10 3 0764137NISSANCMT;                4288  0       0       000   046299468880    00     589      0              0          
4307079 574316017 4561  0 4271  09110311252          67          39          1069110311301     10 2 0764137NISSANCMT;                4288  0       0       000   046299468880    00     589      0              0          
4307244 574316117 4561  0 4271  09110311252       34390       33731        681219110311300      8 3 0764137NISSANCMT;                4288  0       0       000   046314468070    00     493      0              0          
4307245 574316217 4561  0 4271  09110311252          67          39          1069110311300      8 2 0764137NISSANCMT;                4288  0       0       000   046314468070    00     493      0              0          
4309204 574316417 4561  0 4271  09110311255        1280        1315         25959110311256      1 3 0764137NISSANCMT;                4288  0       0       000   046503465470    00      44      0              0          
4309205 574316517 4561  0 4271  09110311255          67          39          1069110311256      1 2 0764137NISSANCMT;                4288  0       0       000   046503465470    00      44      0              0          
4313349 574315317 4561  0 4271  09110311301       68844       64032       1328769110311317     16 3 0764137NISSANCMT;                4288  0       0       000   046859477940    00     935      0              0          
4313350 574315417 4561  0 4271  09110311301          67          39          1069110311317     16 2 0764137NISSANCMT;                4288  0       0       000   046859477940    00     935      0              0          
4313755 574315117 4561  0 4271  09110311302       60142       53024       1131669110311312     10 3 0764137NISSANCMT;                4288  0       0       000   046891475160    00     625      0              0          
4313756 574315517 4561  0 4271  09110311302          67          39          1069110311312     10 2 0764137NISSANCMT;                4288  0       0       000   046891475160    00     625      0              0          
4313946 574316217 4561  0 4271  09110311302       15039       14908        299479110311306      4 3 0764137NISSANCMT;                4288  0       0       000   046905471660    00     261      0              0          
4313947 574316317 4561  0 4271  09110311302          67          39          1069110311306      4 2 0764137NISSANCMT;                4288  0       0       000   046905471660    00     261      0              0          
4314076 574316517 4561  0 4271  09110311302       68883       68119       1370029110311315     13 3 0764137NISSANCMT;                4288  0       0       000   046915476940    00     779      0              0          
4314077 574316617 4561  0 4271  09110311302          67          39          1069110311315     13 2 0764137NISSANCMT;                4288  0       0       000   046915476940    00     779      0              0          
4318176 574314217 4561  0 4271  09110311307        3992        3767         77599110311308      1 3 0764137NISSANCMT;                4288  0       0       000   047214472970    00      83      0              0          
4318177 574314717 4561  0 4271  09110311307          67          39          1069110311308      1 2 0764137NISSANCMT;                4288  0       0       000   047214472970    00      83      0              0          
4318305 574316117 4561  0 4271  09110311307         224         572          7969110311308      1 3 0764137NISSANCMT;                4288  0       0       000   047225472610    00      36      0              0          
4318306 574316217 4561  0 4271  09110311307          67          39          1069110311308      1 2 0764137NISSANCMT;                4288  0       0       000   047225472610    00      36      0              0          
4318831 574316317 4561  0 4271  09110311308         459        1962         24219110311314      6 3 0764137NISSANCMT;                4288  0       0       000   047266476240    00     358      0              0          
4318832 574316717 4561  0 4271  09110311308          67          39          1069110311314      6 2 0764137NISSANCMT;                4288  0       0       000   047266476240    00     358      0              0          
4318849 574317017 4561  0 4271  09110311308         307        1623         19309110311310      2 3 0764137NISSANCMT;                4288  0       0       000   047267473800    00     113      0              0          
4318850 574317117 4561  0 4271  09110311308          67          39          1069110311310      2 2 0764137NISSANCMT;                4288  0       0       000   047267473800    00     113      0              0          
4322991 574314217 4561  0 4271  09110311313         185        1438         16239110311313      1 3 0764137NISSANCMT;                4288  0       0       000   047556475970    00      41      0              0          
4322992 574314717 4561  0 4271  09110311313          67          39          1069110311313      1 2 0764137NISSANCMT;                4288  0       0       000   047556475970    00      41      0              0          
4323452 574315117 4561  0 4271  09110311313         214        1519         17339110311317      4 3 0764137NISSANCMT;                4288  0       0       000   047586478170    00     231      0              0          
4323453 574315517 4561  0 4271  09110311313          67          39          1069110311317      4 2 0764137NISSANCMT;                4288  0       0       000   047586478170    00     231      0              0          
4323677 574314217 4561  0 4271  09110311313       17151       16724        338759110311318      5 3 0764137NISSANCMT;                4288  0       0       000   047602478970    00     295      0              0          
4323678 574314717 4561  0 4271  09110311313          67          39          1069110311318      5 2 0764137NISSANCMT;                4288  0       0       000   047602478970    00     295      0              0          
4323817 574317017 4561  0 4271  09110311314         448        1849         22979110311317      4 3 0764137NISSANCMT;                4288  0       0       000   047613478250    00     212      0              0          
4323818 574317117 4561  0 4271  09110311314          67          39          1069110311317      4 2 0764137NISSANCMT;                4288  0       0       000   047613478250    00     212      0              0          
4323819 574317217 4561  0 4271  09110311314         275        1760         20359110311319      6 3 0764137NISSANCMT;                4288  0       0       000   047613479560    00     343      0              0          
4323820 574317317 4561  0 4271  09110311314          67          39          1069110311319      6 2 0764137NISSANCMT;                4288  0       0       000   047613479560    00     343      0              0          
4324465 574316317 4561  0 4271  09110311314       83539       81757       1652969110311336     22 3 0764137NISSANCMT;                4288  0       0       000   047660489570    00    1297      0              0          
4324466 574316717 4561  0 4271  09110311314          67          39          1069110311336     22 2 0764137NISSANCMT;                4288  0       0       000   047660489570    00    1297      0              0          
4326736 574315217 4561  0 4271  09110311317       32275       31065        633409110311324      7 3 0764137NISSANCMT;                4288  0       0       000   047825482300    00     405      0              0          
4326737 574315317 4561  0 4271  09110311317          67          39          1069110311324      7 2 0764137NISSANCMT;                4288  0       0       000   047825482300    00     405      0              0          
4326750 574316217 4561  0 4271  09110311317         720         958         16789110311318      1 3 0764137NISSANCMT;                4288  0       0       000   047826478720    00      46      0              0          
4326751 574316417 4561  0 4271  09110311317          67          39          1069110311318      1 2 0764137NISSANCMT;                4288  0       0       000   047826478720    00      46      0              0          
