               13770 53 6000469       011   018160184060    00     246      0              000000000000000000000000000000000     0     0 0
        4944186145261451614463  0  469  0930723 503           0          26           26930723 503      014 0731247PRODIGY                  15064  0 6000469       011   018155181750    00      20      0              000000000000000000000000000000000     0     0 0
        4944558145261441614457  0  469  0930723 503       13035       54433        67468930723 516     1314 0731247PRODIGY                  15064 42 6000469       011   018176189310    00     755      0              000000000000000000000000000000000     0     0 0
        49446511452614316 6020  0  469  0930723 503        2306        5983         8289930723 508      514 0731247PRODIGY                  15064 43 6000469       011   018181184830    00     302      0              000000000000000000000000000000000     0     0 0
        4944704145261451611042  0  469  0930723 503       24478      229448       253926930723 548     4514 0731247PRODIGY                  15064 41 6000469       011   018186208580    00    2672      0              000000000000000000000000000000000     0     0 0
        5402103145261411614463  0  469  0930723 513        1758        6994         8752930723 515      114 0731247PRODIGY                  15064 33 6000469       011   018796188710    00      75      0              000000000000000000000000000000000     0     0 0
        5402635145261421614457  0  469  0930723 514        3023        9586        12609930723 518      414 0731247PRODIGY                  15064 34 6000469       011   018825190880    00     263      0              000000000000000000000000000000000     0     0 0
        3013453145241451614457  0  469  0930723 519        6315        8198        14513930723 530     1114 0731247PRODIGY                  15057 36 6000469       011   019125197870    00     662      0              000000000000000000000000000000000     0     0 0
        3013637145241471612406  0  469  0930723 519       15355      127123       142478930723 548     2914 0731247PRODIGY                  15057 37 6000469       011   019135208600    00    1725      0              000000000000000000000000000000000     0     0 0
        3013855145241541611426  0  469  0930723 519       14572       39660        54232930723 620     6114 0731247PRODIGY                  15057 41 6000469       011   019149228220    00    3673      0              000000000000000000000000000000000     0     0 0
        3013868145241551611426  0  469  0930723 519       10189       35931        46120930723 539     2014 0731247PRODIGY                  15057 43 6000469       011   019150203680    00    1218      0              000000000000000000000000000000000     0     0 0
        3013969145241561611426  0  469  0930723 519        5762        6854        12616930723 547     2814 0731247PRODIGY                  15057 45 6000469       011   019156208150    00    1659      0              000000000000000000000000000000000     0     0 0
        3014565145241531611042  0  469  0930723 520       14074      108826       122900930723 534     1414 0731247PRODIGY                  15057 46 6000469       011   019209200460    00     837      0              000000000000000000000000000000000     0     0 0
        3019771145241431611042  0  469  0930723 535        1355        4327         5682930723 535      114 0731247PRODIGY                  15057 47 6000469       011   020071201160    00      45      0              000000000000000000000000000000000     0     0 0
        3021777145241431614457  0  469  0930723 541       12272       59954        72226930723 622     4214 0731247PRODIGY                  15057 50 6000469       011   020434229400    00    2506      0              000000000000000000000000000000000     0     0 0
