     APPLE / BT TYMNET   TRAFFIC STATISTICS  -  X.25 HOST 7825


 
                   MAX
            TOTAL  SIM                MAXIMUM CPS                   CONNECT
 DATE  HOUR USERS USERS            IN         OUT       TOTAL         HOURS
 931111  11     0     0          0.00        0.00        0.00          0.00
 931111  12     0     0          0.00        0.00        0.00          0.00
 931111  13     0     0          0.00        0.00        0.00          0.00
 931111  14     0     0          0.00        0.00        0.00          0.00
 931111  15     0     0          0.00        0.00        0.00          0.00
 931111  16     0     0          0.00        0.00        0.00          0.00
 931111  17     4     1         26.27       24.28       50.55          0.15
 931111  18     0     0          0.00        0.00        0.00          0.00
 931111  19     3     1        271.30      135.93      282.52          0.10
 931111  20     0     0          0.00        0.00        0.00          0.00
 931111  21     0     0          0.00        0.00        0.00          0.00
 931111  22     1     1         28.35        4.02       32.37          0.03
 931111  23     0     0          0.00        0.00        0.00          0.00
 931111  24     0     0          0.00        0.00        0.00          0.00



     MAXIMUM OF MAXIMUM SIMULTANEOUS USERS
 
 
                   MAX
            TOTAL  SIM                MAXIMUM CPS                   CONNECT
 DATE  HOUR USERS USERS            IN         OUT       TOTAL         HOURS
 
 931108  21     1     1          0.25        0.20        0.45          0.47
 
 
     MAXIMUM OF CONNECT HOURS
 
 
                   MAX
            TOTAL  SIM                MAXIMUM CPS                   CONNECT
 DATE  HOUR USERS USERS            IN         OUT       TOTAL         HOURS
 
 931108  22     2     1          0.25        0.28        0.45          0.98
