1
 
                   MAX
            TOTAL  SIM                MAXIMUM CPS                   CONNECT
 DATE  HOUR USERS USERS            IN         OUT       TOTAL         HOURS
 940325  13     1     1          0.00       25.23       25.23          0.82
 940325  14    10     7         16.47      234.07      250.22          3.18
 940325  15    16    14         16.60      481.62      498.07         12.22
 940325  16    18    17         16.62      524.40      541.02         15.95
 940325  17    20    17         16.58      514.50      531.08         16.72
 940325  18    19    17         16.53      506.12      522.62         16.08
 940325  19    15    15         16.48      501.07      517.55         15.00
 940325  20    18    15         16.50      537.27      553.75         14.22
 940325  21    20    16          0.58      526.47      527.02         14.10
 940325  22    15    14          0.57      437.62      438.18         10.13
 940325  23     6     6          0.20      117.02      117.22          4.40
 940325  24     1     1          0.00       18.53       18.53          0.10

1     MAXIMUM OF MAXIMUM SIMULTANEOUS USERS
 
 
                   MAX
            TOTAL  SIM                MAXIMUM CPS                   CONNECT
 DATE  HOUR USERS USERS            IN         OUT       TOTAL         HOURS
 
 940321  17    27    24          1.57      609.95      611.02         22.87
 
 
     MAXIMUM OF CONNECT HOURS
 
 
                   MAX
            TOTAL  SIM                MAXIMUM CPS                   CONNECT
 DATE  HOUR USERS USERS            IN         OUT       TOTAL         HOURS
 
 940321  20    24    24          1.02      596.10      597.12         23.53
1
