 7415, 2606,161505,930111,1711,1712,61869,61938,         112,          59,          171
10781, 4325, 64207,930111,1711,1711,61881,61888,         110,          63,          173
   40, 4325, 44454,930111,1711,1712,61886,61917,         162,         192,          354
   40, 4325,525274,930111,1712,1713,61898,61990,         907,         627,         1534
   40, 4325,471650,930111,1712,1713,61915,61952,         156,         197,          353
   40, 4325,444400,930111,1712,1713,61918,61983,         943,         627,         1570
 8315, 4325,602070,930111,1712,1718,61949,62290,         456,         137,          593
 2312, 4325,654034,930111,1713,1715,61974,62113,        3060,         289,         3349
   40, 4325,466115,930111,1713,1714,61987,62016,         181,         258,          439
   40, 4325,444400,930111,1713,1719,61993,62351,         944,         627,         1571
 8315, 4325,602070,930111,1714,1714,62013,62018,           4,          49,           53
 8315, 4325,602070,930111,1714,1714,62022,62027,           4,          49,           53
 5164, 7565,435544,930111,1714,1716,62031,62183,        1585,         880,         2465
 8315, 4325,602070,930111,1714,1714,62031,62035,           4,          49,           53
 8315, 4325,536112,930111,1715,1715,62077,62111,          99,          49,          148
 8315, 4325,602070,930111,1715,1715,62084,62088,           4,          49,           53
13478, 4325,602070,930111,1715,1743,62117,63783,         573,       65621,        66194
   40, 4325,742341,930111,1715,1718,62122,62259,         189,         251,          440
 7415, 4325,654034,930111,1716,1720,62137,62371,         447,        3405,         3852
 7415, 2606,161505,930111,1716,1716,62138,62142,          49,          16,           65
   40, 7565,513465,930111,1716,1717,62184,62220,         158,         291,          449
   40, 4325,546211,930111,1717,1718,62236,62278,         190,         254,          444
   40, 4325,742341,930111,1718,1721,62265,62478,         193,         253,          446
 7415, 2606,161505,930111,1718,1718,62267,62271,          49,          16,           65
   40, 4325,742302,930111,1718,1719,62273,62345,         941,         633,         1574
   40, 4325,471650,930111,1718,1718,62283,62306,         186,         261,          447
16687, 7565,435544,930111,1718,1719,62298,62316,          74,         875,          949
   40, 7565,435507,930111,1719,1721,62334,62480,         934,         730,         1664
13478, 7565,435544,930111,1719,1732,62337,63116,          38,         305,          343
   40, 4325, 44453,930111,1719,1720,62350,62379,         162,         192,          354
   40, 4325,742302,930111,1719,1728,62357,62893,         944,         633,         1577
   40, 4325,471650,930111,1720,1720,62388,62423,         156,         197,          353
 7152, 4325,545432,930111,1720,1721,62422,62436,         925,          25,          950
 8315, 4325,536112,930111,1721,1721,62444,62465,          65,          35,          100
